network_name,run_date,procedure_code,provider_type,care_setting,service_label,service_category,p50,p10,p25,p75,p90,pmin,pmax,pmean,psd,n_prices,n_groups,cv,hilo,p9010,p7525
MyBlue Health HMO,2026-05-30,99215,institutional,outpatient,Office visit est pt 40-54min,E&M outpatient,124.08,102.085,113.365,185.615,271.845,69.94,402.02,162.3239,70.67110108864024,100,219,.43537089,5.7480698,2.6629279,1.6373219
ParPlan,2026-05-30,99215,institutional,outpatient,Office visit est pt 40-54min,E&M outpatient,289.9,121.82,134.23,416.23,592.75,105.67,926.3099999999999,320.8043462897529,204.354712918581,283,330,.6370073,8.7660637,4.8657856,3.1008716
Blue Advantage HMO,2026-05-30,99215,professional,outpatient,Office visit est pt 40-54min,E&M outpatient,108.2,78.09999999999999,86.66,129.96,153.25,60.49,778.0599999999999,113.9662995116635,43.85302571108809,5529,95858,.38478941,12.862622,1.9622279,1.4996538
Blue Choice PPO,2026-05-30,99215,professional,outpatient,Office visit est pt 40-54min,E&M outpatient,122.22,80.09999999999999,102.45,147.72,166.08,61.06,840.58,129.5181173982006,59.40921480031552,5673,121959,.45869425,13.766459,2.0734081,1.441874
Blue Choice PPO common,2026-05-30,99215,professional,outpatient,Office visit est pt 40-54min,E&M outpatient,122.22,80.09999999999999,102.45,147.72,166.08,61.06,840.58,129.5267031029605,59.41192078468466,5672,121587,.45868474,13.766459,2.0734081,1.441874
Blue Choice PPO group 039993,2026-05-30,99215,professional,outpatient,Office visit est pt 40-54min,E&M outpatient,124.08,93.17,108.335,146.105,159.22,65.98999999999999,178.89,125.728125,26.53468119364517,32,36,.2110481,2.7108653,1.7089192,1.3486408
Blue Essentials,2026-05-30,99215,professional,outpatient,Office visit est pt 40-54min,E&M outpatient,121.18,80.09999999999999,101.58,145.35,163.99,61.06,840.58,128.0795043258835,59.7210798117754,5548,104374,.46628132,13.766459,2.0473158,1.4308919
Blue Essentials common,2026-05-30,99215,professional,outpatient,Office visit est pt 40-54min,E&M outpatient,121.18,80.09999999999999,101.58,145.35,163.99,61.06,840.58,128.0428576589599,59.77294004138421,5536,104135,.46681979,13.766459,2.0473158,1.4308919
Blue Essentials group 295430,2026-05-30,99215,professional,outpatient,Office visit est pt 40-54min,E&M outpatient,122.22,95.54000000000001,111.27,145.95,159.18,92.38,180.46,128.4329702970297,23.13681799835727,101,247,.18014702,1.9534532,1.6661085,1.3116744
Blue Essentials group 295781,2026-05-30,99215,professional,outpatient,Office visit est pt 40-54min,E&M outpatient,122.22,95.54000000000001,111.27,145.95,159.18,92.38,180.46,128.4329702970297,23.13681799835727,101,247,.18014702,1.9534532,1.6661085,1.3116744
Blue Premier,2026-05-30,99215,professional,outpatient,Office visit est pt 40-54min,E&M outpatient,117.67,78.09999999999999,92.38,135.26,158.46,61.06,840.58,124.6020542874769,69.25270793244191,3242,56713,.55579108,13.766459,2.0289373,1.4641697
MyBlue Health HMO,2026-05-30,99215,professional,outpatient,Office visit est pt 40-54min,E&M outpatient,102.45,76.19,82.86,121.31,145.4,60.49,778.0599999999999,109.260550051247,47.45591160015009,2927,51643,.43433711,12.862622,1.9083869,1.4640357
ParPlan,2026-05-30,99215,professional,outpatient,Office visit est pt 40-54min,E&M outpatient,121.18,78.09999999999999,93.17,136.51,160.6,61.06,840.58,123.3266439565976,53.88593762468365,3963,95154,.43693671,13.766459,2.0563381,1.4651712
Blue Advantage HMO,2026-05-30,99202,institutional,outpatient,Office visit new pt 15-29min,E&M outpatient,55.66,25.77,27.2,95.34999999999999,156.17,25.25,385.42,74.16827915869986,57.82330913906307,523,1007,.77962315,15.264158,6.0601473,3.5055146
Blue Choice PPO,2026-05-30,99202,institutional,outpatient,Office visit new pt 15-29min,E&M outpatient,91.73999999999999,25.77,51.54,166.99,259.35,25.66,405.7,118.1724425887268,87.92118504187559,479,1106,.74400753,15.8106,10.064028,3.2400079
Blue Choice PPO common,2026-05-30,99202,institutional,outpatient,Office visit new pt 15-29min,E&M outpatient,81.95,25.77,36.09,160.29,230.9,25.66,405.7,110.5994117647061,83.91837261973835,442,1063,.75875968,15.8106,8.9600315,4.4413967
Blue Choice PPO group 039993,2026-05-30,99202,institutional,outpatient,Office visit new pt 15-29min,E&M outpatient,214.665,80.40000000000001,152.56,277.8,333.98,64.94,333.98,205.5223684210526,86.18752309634047,38,53,.41935837,5.1429009,4.1539803,1.820923
Blue Essentials,2026-05-30,99202,institutional,outpatient,Office visit new pt 15-29min,E&M outpatient,80.40000000000001,25.77,36.09,148.95,236.05,25.66,405.7,106.9573430962345,80.34685120386979,478,885,.75120461,15.8106,9.1598759,4.127182
Blue Essentials common,2026-05-30,99202,institutional,outpatient,Office visit new pt 15-29min,E&M outpatient,80.40000000000001,25.77,36.09,148.95,236.05,25.66,405.7,106.9573430962345,80.34685120386979,478,885,.75120461,15.8106,9.1598759,4.127182
